ordre;famille;cd_nom;lb_nom;nom_vern;habitat;statut;url
Passeriformes;Tyrannidae;441886;Elaenia parvirostris;Élénie à bec court ;3;;https://inpn.mnhn.fr/espece/cd_nom/441886
Passeriformes;Tyrannidae;441887;Elaenia ruficeps;Élénie tête-de-feu ;3;;https://inpn.mnhn.fr/espece/cd_nom/441887
Passeriformes;Tyrannidae;441891;Empidonax alnorum;Moucherolle des aulnes;3;;https://inpn.mnhn.fr/espece/cd_nom/441891
Passeriformes;Tyrannidae;441892;Empidonax flaviventris;Moucherolle à ventre jaune;3;;https://inpn.mnhn.fr/espece/cd_nom/441892
Passeriformes;Tyrannidae;441893;Empidonax minimus;;3;;https://inpn.mnhn.fr/espece/cd_nom/441893
Passeriformes;Tyrannidae;440377;Empidonomus;;3;;
Passeriformes;Tyrannidae;720241;Empidonomus aurantioatrocristatus;Tyran oriflamme ;3;;https://inpn.mnhn.fr/espece/cd_nom/720241
Passeriformes;Tyrannidae;720238;Griseotyrannus aurantioatrocristatus;Tyran oriflamme ;3;;https://inpn.mnhn.fr/espece/cd_nom/720238
Passeriformes;Tyrannidae;782555;Tyrannus aurantio-atro cristatus;Tyran oriflamme ;3;;https://inpn.mnhn.fr/espece/cd_nom/782555
Passeriformes;Tyrannidae;441894;Empidonomus varius;Tyran tacheté ;3;;https://inpn.mnhn.fr/espece/cd_nom/441894
Passeriformes;Tyrannidae;829040;Muscicapa varia;Tyran tacheté ;3;;https://inpn.mnhn.fr/espece/cd_nom/829040
Passeriformes;Tyrannidae;829041;Empidonomus varius rufinus;;3;;https://inpn.mnhn.fr/espece/cd_nom/829041
Passeriformes;Tyrannidae;829042;Muscicapa rufina;;3;;https://inpn.mnhn.fr/espece/cd_nom/829042
Passeriformes;Tyrannidae;829043;Empidonomus varius varius;;3;;https://inpn.mnhn.fr/espece/cd_nom/829043
Passeriformes;Tyrannidae;441924;Fluvicola pica;Moucherolle pie ;3;;https://inpn.mnhn.fr/espece/cd_nom/441924
Passeriformes;Tyrannidae;441980;Hemitriccus josephinae;Todirostre de Joséphine ;3;;https://inpn.mnhn.fr/espece/cd_nom/441980
Passeriformes;Tyrannidae;441981;Hemitriccus minor;;3;;https://inpn.mnhn.fr/espece/cd_nom/441981
Passeriformes;Tyrannidae;441982;Hemitriccus zosterops;Todirostre zostérops ;3;;https://inpn.mnhn.fr/espece/cd_nom/441982
Passeriformes;Tyrannidae;441989;Hirundinea ferruginea;Moucherolle hirondelle ;3;A;https://inpn.mnhn.fr/espece/cd_nom/441989
Passeriformes;Tyrannidae;528769;Inezia caudata;Tyranneau frangé ;3;;https://inpn.mnhn.fr/espece/cd_nom/528769
Passeriformes;Tyrannidae;442011;Inezia subflava;Tyranneau frangé ;3;;https://inpn.mnhn.fr/espece/cd_nom/442011
Passeriformes;Tyrannidae;442026;Lathrotriccus euleri;Moucherolle d'Euler;3;;https://inpn.mnhn.fr/espece/cd_nom/442026
Passeriformes;Tyrannidae;782445;Empidochanes euleri;Moucherolle d'Euler;3;;https://inpn.mnhn.fr/espece/cd_nom/782445
Passeriformes;Tyrannidae;782446;Empidonax euleri;Moucherolle d'Euler;3;;https://inpn.mnhn.fr/espece/cd_nom/782446
Passeriformes;Tyrannidae;829044;Lathrotriccus euleri lawrencei;;3;;https://inpn.mnhn.fr/espece/cd_nom/829044
Passeriformes;Tyrannidae;829045;Empidonax lawrencei;;3;;https://inpn.mnhn.fr/espece/cd_nom/829045
Passeriformes;Tyrannidae;442027;Legatus leucophaius;Tyran pirate ;3;;https://inpn.mnhn.fr/espece/cd_nom/442027
Passeriformes;Tyrannidae;442031;Leptopogon amaurocephalus;Pipromorphe à tête brune ;3;;https://inpn.mnhn.fr/espece/cd_nom/442031
Passeriformes;Tyrannidae;829046;Leptopogon amaurocephalus orinocensis;;3;;https://inpn.mnhn.fr/espece/cd_nom/829046
Passeriformes;Tyrannidae;442045;Lophotriccus galeatus;Microtyran casqué, Todirostre casqué ;3;;https://inpn.mnhn.fr/espece/cd_nom/442045
Passeriformes;Tyrannidae;442046;Lophotriccus vitiosus;Microtyran bifascié, Todirostre bifascié ;3;;https://inpn.mnhn.fr/espece/cd_nom/442046
Passeriformes;Tyrannidae;829047;Cometornis vitiosus;Microtyran bifascié, Todirostre bifascié ;3;;https://inpn.mnhn.fr/espece/cd_nom/829047
Passeriformes;Tyrannidae;829048;Lophotriccus vitiosus guianensis;;3;;https://inpn.mnhn.fr/espece/cd_nom/829048
Passeriformes;Tyrannidae;442059;Megarynchus pitangua;Tyran pitangua ;3;;https://inpn.mnhn.fr/espece/cd_nom/442059
Passeriformes;Tyrannidae;442080;Mionectes macconnelli;Pipromorphe de McConnell ;3;;https://inpn.mnhn.fr/espece/cd_nom/442080
Passeriformes;Tyrannidae;442081;Mionectes oleagineus;Pipromorphe roussâtre ;3;;https://inpn.mnhn.fr/espece/cd_nom/442081
Passeriformes;Tyrannidae;442091;Myiarchus cinerascens;;3;;https://inpn.mnhn.fr/espece/cd_nom/442091
Passeriformes;Tyrannidae;442092;Myiarchus crinitus;;3;;https://inpn.mnhn.fr/espece/cd_nom/442092
Passeriformes;Tyrannidae;442093;Myiarchus ferox;Tyran féroce ;3;;https://inpn.mnhn.fr/espece/cd_nom/442093
